"Index","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
2016-07-11 11:00:00,6,12,5,9,0,4,1,0,0,2,0,5,0,0,14,2,1,14,14,5,10,4,20,20,3,29,20,5,55,35,29
2016-07-11 11:05:00,1,44,2,1,0,5,4,1,2,1,5,8,1,12,1,7,23,7,0,7,4,12,11,24,30,7,33,44,53,12,31
2016-07-11 11:10:00,0,6,4,0,1,4,0,0,0,0,0,0,8,0,36,9,7,31,3,4,6,5,6,13,20,2,51,19,8,26,25
2016-07-11 11:15:00,0,4,4,20,1,2,17,4,6,3,11,5,3,0,15,4,10,12,11,4,5,21,27,22,10,28,18,32,15,75,22
2016-07-11 11:20:00,5,16,6,8,0,9,4,17,3,0,0,2,7,0,14,9,4,2,0,6,0,13,19,26,51,24,68,23,52,39,46
2016-07-11 11:25:00,20,6,18,5,1,3,1,2,0,3,0,1,2,0,5,7,7,3,7,1,29,9,5,13,18,15,25,14,55,50,71
2016-07-11 11:30:00,0,3,4,6,69,0,2,5,0,4,3,2,13,14,0,6,1,2,4,9,37,12,4,7,14,14,28,58,16,46,58
2016-07-11 11:35:00,0,12,13,7,10,8,11,0,8,0,0,3,7,3,0,7,6,18,9,5,10,12,6,10,59,21,15,11,70,19,58
2016-07-11 11:40:00,2,12,0,0,4,7,4,3,0,0,3,4,1,3,0,26,5,6,11,3,7,0,11,7,47,32,21,19,95,61,37
2016-07-11 11:45:00,5,0,0,4,0,3,11,7,4,4,6,2,4,0,3,19,5,0,3,12,3,12,15,3,43,15,21,27,34,13,41
2016-07-11 11:50:00,11,0,12,11,2,7,5,5,0,11,4,0,5,0,6,16,3,0,0,18,12,4,22,8,14,11,30,19,55,37,59
2016-07-11 11:55:00,10,11,7,9,10,10,7,16,4,9,5,8,15,1,6,0,6,8,27,10,9,8,5,12,13,13,18,59,20,13,72
2016-07-11 12:00:00,7,2,8,0,4,3,0,9,0,3,0,8,28,5,0,3,0,28,9,2,16,20,19,4,23,13,18,12,26,31,50
2016-07-11 12:05:00,7,17,6,5,15,8,2,11,8,11,3,11,0,3,0,7,2,29,23,13,20,7,4,7,9,35,18,41,70,10,95
2016-07-11 12:10:00,4,13,5,8,11,9,14,8,13,18,7,17,5,1,0,6,1,14,1,7,7,23,3,35,23,49,22,5,60,23,50
2016-07-11 12:15:00,7,1,1,2,4,4,7,14,7,30,7,13,7,0,9,0,11,5,6,4,4,6,16,19,20,8,25,37,52,31,83
2016-07-11 12:20:00,1,10,7,7,0,1,12,0,7,10,5,15,7,9,7,4,2,0,3,6,4,9,13,7,57,27,16,12,70,43,70
